Method;Size;Arity;R;Mean-squared Error;Run Time;Delta Time
BE;2;1;;;0;
MB;2;1;1;0;0;0
BE;3;1;;;0;
MB;3;1;1;0;0;0
MB;3;1;1;0;0;0
BE;3;2;;;0;
MB;3;2;1;0.023613495;0;0
MB;3;2;1;0.023613495;0;0
BE;4;1;;;0;
MB;4;1;1;0;0;0
MB;4;1;1;0;0;0
MB;4;1;1;0;0;0
BE;4;2;;;0;
MB;4;2;1;3.08149E-33;0;0
MB;4;2;1;3.08149E-33;0;0
MB;4;2;1;3.08149E-33;0;0
BE;4;3;;;0;
MB;4;3;1;7.22654E-10;0;0
MB;4;3;1;7.22654E-10;0;0
MB;4;3;1;7.22654E-10;0;0
BE;5;1;;;0;
MB;5;1;1;0;0.015622377;-0.015622377
MB;5;1;1;0;0;0
MB;5;1;1;0;0.015626907;-0.015626907
MB;5;1;1;0;0;0
BE;5;2;;;0;
MB;5;2;1;1.2326E-32;0;0
MB;5;2;1;1.2326E-32;0;0
MB;5;2;1;1.2326E-32;0;0
MB;5;2;1;1.2326E-32;0;0
BE;5;3;;;0.015627623;
MB;5;3;1;0.001345636;0;0.015627623
MB;5;3;1;0.001345636;0.015622377;5.24521E-06
MB;5;3;1;0.001345636;0;0.015627623
MB;5;3;2;1.54074E-32;0;0.015627623
BE;6;1;;;0;
MB;6;1;1;0.014540516;0;0
MB;6;1;1;0.014540516;0;0
MB;6;1;1;0.014540516;0;0
MB;6;1;1;0.014540516;0;0
MB;6;1;1;0.014540516;0;0
BE;6;3;;;0.015624762;
MB;6;3;1;0.013924946;0;0.015624762
MB;6;3;1;0.013924946;0;0.015624762
MB;6;3;1;0.013924946;0;0.015624762
MB;6;3;2;0.011110598;0;0.015624762
MB;6;3;2;0.011110598;0;0.015624762
BE;6;4;;;0.015624285;
MB;6;4;1;0.06068039;0.015624285;0
MB;6;4;1;0.06068039;0.015627146;-2.86102E-06
MB;6;4;2;0.022848006;0.015622377;1.90735E-06
MB;6;4;2;0.022848006;0.015628099;-3.8147E-06
MB;6;4;3;0.038761047;0;0.015624285
BE;7;1;;;0;
MB;7;1;1;0.000105814;0;0
MB;7;1;1;0.000105814;0;0
MB;7;1;1;0.000105814;0;0
MB;7;1;1;0.000105814;0;0
MB;7;1;1;0.000105814;0;0
BE;7;3;;;0.046871901;
MB;7;3;1;0.085954849;0.015623808;0.031248093
MB;7;3;1;0.085954849;0.015627146;0.031244755
MB;7;3;1;0.085954849;0;0.046871901
MB;7;3;2;0.080507164;0;0.046871901
MB;7;3;2;0.080507164;0.015621185;0.031250715
BE;7;5;;;0.312482834;
MB;7;5;1;0.001958975;0.015624762;0.296858072
MB;7;5;1;0.001958975;0;0.312482834
MB;7;5;2;0.002343;0.015627146;0.296855688
MB;7;5;3;0.002232181;0.015623331;0.296859503
MB;7;5;4;0.001249516;0.078121185;0.234361649
BE;8;2;;;0.031251431;
MB;8;2;1;0.047922475;0;0.031251431
MB;8;2;1;0.047922475;0;0.031251431
MB;8;2;1;0.047922475;0.015623331;0.015628099
MB;8;2;1;0.047922475;0.015623808;0.015627623
MB;8;2;1;0.047922475;0.015621185;0.015630245
BE;8;4;;;0.156239748;
MB;8;4;1;0.12790976;0;0.156239748
MB;8;4;1;0.12790976;0.015621662;0.140618086
MB;8;4;2;0.139794491;0;0.156239748
MB;8;4;2;0.139794491;0.01562047;0.140619278
MB;8;4;3;0.139321432;0.015620232;0.140619516
BE;8;6;;;3.093579531;
MB;8;6;1;0.062503101;0.031248569;3.062330961
MB;8;6;2;0.062531895;0.015622854;3.077956676
MB;8;6;3;0.031890451;0.109367847;2.984211683
MB;8;6;4;0.026265349;0.124988794;2.968590736
MB;8;6;5;0.031349236;0.156242371;2.93733716
BE;9;2;;;0.015578985;
MB;9;2;1;0.032186888;0;0.015578985
MB;9;2;1;0.032186888;0;0.015578985
MB;9;2;1;0.032186888;0.015621424;-4.24385E-05
MB;9;2;1;0.032186888;0;0.015578985
MB;9;2;1;0.032186888;0;0.015578985
BE;9;4;;;0.687466383;
MB;9;4;1;0.06125963;0.015620232;0.671846151
MB;9;4;1;0.06125963;0.015626192;0.671840191
MB;9;4;2;0.056315835;0.015622616;0.671843767
MB;9;4;2;0.056315835;0.015623093;0.67184329
MB;9;4;3;0.046684995;0.031249523;0.65621686
BE;9;6;;;28.81827378;
MB;9;6;1;0.058249196;0.031203032;28.78707075
MB;9;6;2;0.057821585;0.030981302;28.78729248
MB;9;6;3;0.027672271;0.968744516;27.84952927
MB;9;6;4;0.023816716;1.796776533;27.02149725
MB;9;6;5;0.023778209;1.452947617;27.36532617
BE;10;2;;;0;
MB;10;2;1;0.022550636;0.015627146;-0.015627146
MB;10;2;1;0.022550636;0;0
MB;10;2;1;0.022550636;0;0
MB;10;2;1;0.022550636;0;0
MB;10;2;1;0.022550636;0;0
BE;10;5;;;69.14972234;
MB;10;5;1;0.050797398;0.015630245;69.13409209
MB;10;5;1;0.050797398;0.031241179;69.11848116
MB;10;5;2;0.050473036;0.046870708;69.10285163
MB;10;5;3;0.044654055;2.374871731;66.77485061
MB;10;5;4;0.020250224;1.937388182;67.21233416
BE;10;7;;;163.06533;
MB;10;7;1;0.117716586;0.081047058;162.984283
MB;10;7;2;0.099350691;0.47431922;162.5910108
MB;10;7;3;0.02878169;11.73745346;151.3278766
MB;10;7;4;0.028670798;18.24006128;144.8252687
MB;10;7;5;0.029524968;17.76984429;145.2954857
BE;11;2;;;0.994624853;
MB;11;2;1;0.023987679;0;0.994624853
MB;11;2;1;0.023987679;0.015619755;0.979005098
MB;11;2;1;0.023987679;0;0.994624853
MB;11;2;1;0.023987679;0;0.994624853
MB;11;2;1;0.023987679;0;0.994624853
BE;11;5;;;2.715302467;
MB;11;5;1;0.061497751;0.029545307;2.68575716
MB;11;5;1;0.061497751;0.015871525;2.699430943
MB;11;5;2;0.057032888;0.198008299;2.517294168
MB;11;5;3;0.053476187;1.027604103;1.687698364
MB;11;5;4;0.050953127;0.915171623;1.800130844
BE;11;8;;;179.2825186;
MB;11;8;1;0.060615611;0.123869181;179.1586494
MB;11;8;2;0.063135395;4.015568495;175.2669501
MB;11;8;4;0.058827254;4.022712946;175.2598057
MB;11;8;5;0.055521333;10.70594072;168.5765779
MB;11;8;6;0.048982959;20.58706236;158.6954563
BE;12;3;;;9.204614639;
MB;12;3;1;0.01632895;0.010976076;9.193638563
MB;12;3;1;0.01632895;0.010778666;9.193835974
MB;12;3;1;0.01632895;0.010684252;9.193930387
MB;12;3;2;0.010524236;0.895252943;8.309361696
MB;12;3;2;0.010524236;0.900669098;8.303945541
BE;12;6;;;1238.743425;
MB;12;6;1;0.025300736;0.046863794;1238.696562
MB;12;6;2;0.02437129;21.26443005;1217.478995
MB;12;6;3;0.02534263;145.263684;1093.479741
MB;12;6;4;0.025666207;340.2872722;898.4561532
MB;12;6;5;0.025211149;87.76082134;1150.982604
BE;12;9;;;1100.36522;
MB;12;9;1;0.042201705;0.249804258;1100.115416
MB;12;9;3;0.041955857;64.71528864;1035.649932
MB;12;9;4;0.042093376;286.0703213;814.294899
MB;12;9;6;0.000145546;583.8157969;516.5494235
MB;12;9;7;0.000409171;690.2416372;410.1235831
BE;13;3;;;38.98230696;
MB;13;3;1;0.01983006;0;38.98230696
MB;13;3;1;0.01983006;0;38.98230696
MB;13;3;1;0.01983006;0.015746117;38.96656084
MB;13;3;2;0.019607215;0.01580286;38.9665041
MB;13;3;2;0.019607215;0;38.98230696
BE;13;6;;;394.2315545;
MB;13;6;1;0.049776754;0.046917677;394.1846368
MB;13;6;2;0.049331108;8.108953238;386.1226013
MB;13;6;3;0.047642416;131.0623994;263.1691551
MB;13;6;4;0.04935343;145.0891376;249.142417
MB;13;6;5;0.049425012;160.4914813;233.7400732
BE;13;9;;;1196.724848;
MB;13;9;1;0.001622678;0.343683481;1196.381165
MB;13;9;3;0.000344854;32.60765314;1164.117195
MB;13;9;4;0.000412898;93.8603847;1102.864464
MB;13;9;6;0.000466927;193.653007;1003.071841
MB;13;9;7;0.000537941;175.0718391;1021.653009
BE;14;3;;;193.793112;
MB;14;3;1;0.04151691;0.015626192;193.7774858
MB;14;3;1;0.04151691;0;193.793112
MB;14;3;1;0.04151691;0.015522957;193.7775891
MB;14;3;2;0.041883643;0.015835285;193.7772768
MB;14;3;2;0.041883643;0.031054974;193.7620571
BE;14;7;;;7676.9616;
MB;14;7;1;0.022503477;0.124995947;7676.836604
MB;14;7;2;0.021875556;841.9619014;6834.999699
MB;14;7;3;0.024303503;935.7887354;6741.172865
MB;14;7;4;0.02376767;1463.890944;6213.070657
MB;14;7;5;0.020785005;1168.94797;6508.013631
